Rank,Title,Score,Type,Episodes,Aired_Date,Members
929,Ergo Proxy,7.90,TV,23,Feb 2006 - Aug 2006,"727,583 members"
930,Gakuen Babysitters,7.90,TV,12,Jan 2018 - Mar 2018,"384,853 members"
931,Hanma Baki: Son of Ogre 2nd Season,7.90,ONA,27,Jul 2023 - Aug 2023,"122,263 members"
932,I Byeol-e Pil-yohan,7.90,ONA,1,May 2025 - May 2025,"21,140 members"
933,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,7.90,Movie,2,May 2023 - May 2023,"4,606 members"
934,Karigurashi no Arrietty,7.90,Movie,1,Jul 2010 - Jul 2010,"400,039 members"
935,Kobayashi-san Chi no Maid Dragon,7.90,TV,13,Jan 2017 - Apr 2017,"1,343,572 members"
936,Kokoro Connect: Michi Random,7.90,Special,4,Nov 2012 - Dec 2012,"276,141 members"
937,Lupin III (2015),7.90,TV,24,Oct 2015 - Mar 2016,"78,752 members"
938,Niehime to Kemono no Ou,7.90,TV,24,Apr 2023 - Sep 2023,"104,421 members"
939,Oniisama e...,7.90,TV,39,Jul 1991 - May 1992,"57,976 members"
940,Overlord III,7.90,TV,13,Jul 2018 - Oct 2018,"1,025,217 members"
941,Sakamoto Days Part 2,7.90,TV,11,Jul 2025 - Sep 2025,"273,583 members"
942,Shingeki no Kyojin OVA,7.90,OVA,3,Dec 2013 - Aug 2014,"513,092 members"
943,Trigun: Badlands Rumble,7.90,Movie,1,Apr 2010 - Apr 2010,"155,714 members"
944,Vanitas no Karte,7.90,TV,12,Jul 2021 - Sep 2021,"642,875 members"
945,You Shou Yan 4th Season,7.90,ONA,12,Aug 2024 - Oct 2024,"1,171 members"
946,Yuri!!! on Ice,7.90,TV,12,Oct 2016 - Dec 2016,"963,392 members"
947,Darker than Black: Kuro no Keiyakusha Gaiden,7.89,Special,4,Jan 2010 - Jul 2010,"271,556 members"
948,Doupo Cangqiong 3rd Season,7.89,ONA,12,Jul 2019 - Sep 2019,"11,845 members"
